objectid,pid,title,archival_call_number,archival_collection,finding_aid_ark,contributing_institution,contributing_institution_valueURI,creator,personal_creator_valueURI,description,language,subject,topical_subject_fast_valueURI,location,geographic_subject_fast_valueURI,event_subject,event_subject_valueURI,extent,dcmi_type_valueURI,aat_genre,aat_genre_valueURI,dcmi_type,type_of_resource,imt_type,rights_management,rights_management_valueURI,date_original,ark,local_id,file_name_tif,date_modified,digital_collection,digital_collection_ark,image_manipulation,file_size,resolution,colorspace,bits_per_sample,samples_per_pixel,height,digital_origin,filename,identifier,format,display_template,object_location,image_small,image_thumb,image_alt_text,sensitive
lippisch_000,Lippisch_91,Delta Wing Photograph,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Duck-wing as Delta O: a model.,zxx,"Airplanes--Models;Aerodynamics;Airplanes--Design and construction;Airplanes--Wings, Triangular;Delta wing airplanes",http://id.worldcat.org/fast/803299;http://id.worldcat.org/fast/798195;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/803564;http://id.worldcat.org/fast/890000,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,10x8.9 cm,http://purl.org/dc/dcmitype/Image,photographs,http://vocab.getty.edu/aat/300046300,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w9tr70,Lippisch_91,0243_Lippisch_DW_12-28-13.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,778440 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,2600,reformatted digital,0243_lippisch_dw_12-28-13.jpg,0243_lippisch_dw_12-28-13,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_12-28-13.jpg,/objects/smalls/0243_lippisch_dw_12-28-13_sm.jpg,/objects/thumbs/0243_lippisch_dw_12-28-13_th.jpg,,
lippisch_001,Lippisch_0,Wingless aircraft,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Wingless aircraft conceptual drawing.,zxx,Airplanes--Design and construction;Drawing,http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/897725,,,,,50.8x63.5 cm,http://purl.org/dc/dcmitype/Image,design drawings,http://vocab.getty.edu/aat/300069413,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1952,https://n2t.net/ark:/87292/w9kn85,Lippisch_0,0243_Lippisch_CDOversized_1.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,1874674 Bytes,2400 Pixels Per Inch,RGB,8 Bits Per Sample,3 Samples Per Pixel,2203,reformatted digital,0243_lippisch_cdoversized_1.jpg,0243_lippisch_cdoversized_1,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_cdoversized_1.jpg,/objects/smalls/0243_lippisch_cdoversized_1_sm.jpg,/objects/thumbs/0243_lippisch_cdoversized_1_th.jpg,,
lippisch_002,Lippisch_1,Aircraft (Integrated propellers on top),MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Aircraft (with integrated propellers on top) conceptual drawing.,zxx,Airplanes--Design and construction;Drawing,http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/897725,,,,,35.6x27.9 cm,http://purl.org/dc/dcmitype/Image,design drawings,http://vocab.getty.edu/aat/300069413,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1950,https://n2t.net/ark:/87292/w9fz68,Lippisch_1,0243_Lippisch_CDOversized_14.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,1609751 Bytes,2400 Pixels Per Inch,RGB,8 Bits Per Sample,3 Samples Per Pixel,1822,reformatted digital,0243_lippisch_cdoversized_14.jpg,0243_lippisch_cdoversized_14,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_cdoversized_14.jpg,/objects/smalls/0243_lippisch_cdoversized_14_sm.jpg,/objects/thumbs/0243_lippisch_cdoversized_14_th.jpg,,
lippisch_003,Lippisch_2,Delta Wing Photograph,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Delta VI turbojet delta-fighter or P11 twin-tail.,zxx,"Aeronautics--Flights;Airplanes--Design and construction;Airplanes--Rocket engines;Airplanes--Wings, Triangular;Delta wing airplanes",http://id.worldcat.org/fast/798335;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/803453;http://id.worldcat.org/fast/803564;http://id.worldcat.org/fast/890000,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,11.4x8.3 cm,http://purl.org/dc/dcmitype/Image,photographs,http://vocab.getty.edu/aat/300046300,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w9b538,Lippisch_2,0243_Lippisch_DW_19-20-13.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,738709 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,2600,reformatted digital,0243_lippisch_dw_19-20-13.jpg,0243_lippisch_dw_19-20-13,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_19-20-13.jpg,/objects/smalls/0243_lippisch_dw_19-20-13_sm.jpg,/objects/thumbs/0243_lippisch_dw_19-20-13_th.jpg,,
lippisch_004,Lippisch_3,Delta Wing Photograph,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Delta I--30 HP Bristol--Hermann Kohl--RRG.,zxx,"Aeronautics;Airplanes--Design and construction;Airplanes--Wings, Triangular;Delta wing airplanes",http://id.worldcat.org/fast/798293;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/803564;http://id.worldcat.org/fast/890000,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,12.1x16.5 cm,http://purl.org/dc/dcmitype/Image,photographs,http://vocab.getty.edu/aat/300046300,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w96g2r,Lippisch_3,0243_Lippisch_DW_13-10-25.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,485225 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,1500,reformatted digital,0243_lippisch_dw_13-10-25.jpg,0243_lippisch_dw_13-10-25,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_13-10-25.jpg,/objects/smalls/0243_lippisch_dw_13-10-25_sm.jpg,/objects/thumbs/0243_lippisch_dw_13-10-25_th.jpg,,
lippisch_005,Lippisch_4,Delta Wing Photograph,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Delta VI turbojet delta-fighter or P11 twin-tail.,zxx,"Aeronautics--Flights;Airplanes--Design and construction;Airplanes--Rocket engines;Airplanes--Wings, Triangular;Delta wing airplanes",http://id.worldcat.org/fast/798335;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/803453;http://id.worldcat.org/fast/803564;http://id.worldcat.org/fast/890000,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,11.4x8.3 cm,http://purl.org/dc/dcmitype/Image,photographs,http://vocab.getty.edu/aat/300046300,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w92n8h,Lippisch_4,0243_Lippisch_DW_19-20-14.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,934219 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,2600,reformatted digital,0243_lippisch_dw_19-20-14.jpg,0243_lippisch_dw_19-20-14,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_19-20-14.jpg,/objects/smalls/0243_lippisch_dw_19-20-14_sm.jpg,/objects/thumbs/0243_lippisch_dw_19-20-14_th.jpg,,
lippisch_006,Lippisch_5,Delta Wing Photograph,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Delta VI turbojet delta-fighter or P11 twin-tail.,zxx,"Aeronautics--Flights;Airplanes--Design and construction;Airplanes--Rocket engines;Airplanes--Wings, Triangular;Delta wing airplanes",http://id.worldcat.org/fast/798335;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/803453;http://id.worldcat.org/fast/803564;http://id.worldcat.org/fast/890000,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,11.4x8.3 cm,http://purl.org/dc/dcmitype/Image,photographs,http://vocab.getty.edu/aat/300046300,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w9xz70,Lippisch_5,0243_Lippisch_DW_19-20-15.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,728766 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,2600,reformatted digital,0243_lippisch_dw_19-20-15.jpg,0243_lippisch_dw_19-20-15,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_19-20-15.jpg,/objects/smalls/0243_lippisch_dw_19-20-15_sm.jpg,/objects/thumbs/0243_lippisch_dw_19-20-15_th.jpg,,
lippisch_007,Lippisch_6,Delta Wing Photograph,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Delta VI turbojet delta-fighter or P11 twin-tail.,zxx,"Aeronautics--Flights;Airplanes--Design and construction;Airplanes--Rocket engines;Airplanes--Wings, Triangular;Delta wing airplanes",http://id.worldcat.org/fast/798335;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/803453;http://id.worldcat.org/fast/803564;http://id.worldcat.org/fast/890000,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,11.4x8.3 cm,http://purl.org/dc/dcmitype/Image,photographs,http://vocab.getty.edu/aat/300046300,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w9t53m,Lippisch_6,0243_Lippisch_DW_19-20-16.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,597460 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,1500,reformatted digital,0243_lippisch_dw_19-20-16.jpg,0243_lippisch_dw_19-20-16,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_19-20-16.jpg,/objects/smalls/0243_lippisch_dw_19-20-16_sm.jpg,/objects/thumbs/0243_lippisch_dw_19-20-16_th.jpg,,
lippisch_008,Lippisch_7,Delta Wing Photograph,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Delta VI turbojet delta-fighter or P11 twin-tail.,zxx,"Aeronautics--Flights;Airplanes--Design and construction;Airplanes--Rocket engines;Airplanes--Wings, Triangular;Delta wing airplanes",http://id.worldcat.org/fast/798335;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/803453;http://id.worldcat.org/fast/803564;http://id.worldcat.org/fast/890000,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,11.4x8.3 cm,http://purl.org/dc/dcmitype/Image,photographs,http://vocab.getty.edu/aat/300046300,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w9pg3g,Lippisch_7,0243_Lippisch_DW_19-20-17.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,576800 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,1500,reformatted digital,0243_lippisch_dw_19-20-17.jpg,0243_lippisch_dw_19-20-17,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_19-20-17.jpg,/objects/smalls/0243_lippisch_dw_19-20-17_sm.jpg,/objects/thumbs/0243_lippisch_dw_19-20-17_th.jpg,,
lippisch_009,Lippisch_8,Delta Wing Technical Drawing,MS 0243,"Alexander Lippisch papers, 1897-1993, undated",https://n2t.net/ark:/87292/w93r16,Iowa State University. Special Collections and University Archives,https://id.loc.gov/authorities/names/no2021021777,"Lippisch, Alexander, 1894-1976",http://id.loc.gov/authorities/names/n81026416,Li P 13 Lorinjet--LFW Vienna.,zxx,Aeronautics;Airplanes--Design and construction;Delta wing airplanes;Drawing,http://id.worldcat.org/fast/798293;http://id.worldcat.org/fast/803132;http://id.worldcat.org/fast/890000;http://id.worldcat.org/fast/897725,Germany,http://id.worldcat.org/fast/1210272,World War (1939-1945),http://id.worldcat.org/fast/1180924,16.5x12.1 cm,http://purl.org/dc/dcmitype/Image,technical drawings,http://vocab.getty.edu/aat/300034789,Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1941,https://n2t.net/ark:/87292/w9jn97,Lippisch_8,0243_Lippisch_DW_19-21-03b.tif,2023-10-12,Alexander Lippisch,https://n2t.net/ark:/87292/w9bz61778,none,887812 Bytes,300 Pixels Per Inch,Grayscale,8 Bits Per Sample,1 Sample Per Pixel,2600,reformatted digital,0243_lippisch_dw_19-21-03b.jpg,0243_lippisch_dw_19-21-03b,image/jpeg,image,https://iastatedigital.org/objects/lippisch/0243_lippisch_dw_19-21-03b.jpg,/objects/smalls/0243_lippisch_dw_19-21-03b_sm.jpg,/objects/thumbs/0243_lippisch_dw_19-21-03b_th.jpg,,
